Point ID;Time;Hz [dms];V [dms];D [m];PPM Type;PPM;Pressure [mBar];Av Temp [°C];Target Easting [m];Target Northing [m];Target Elevation [m];Station Easting [m];Station Northing [m];Station Height [m];Null Measurement [m];Horz Distance [m]
CND_190_3;01/09/2026 16:00;" 298° 34' 29.72696""";"  78° 59' 19.36805""";594.723;Atmos PPM;0;1013.25;11.1012;175576.4;9045913.163;192.556;176089.028;9045633.904;78.939;583.897;583.757
CND_180_2;01/09/2026 16:01;" 298° 59' 58.65880""";"  79° 34' 23.00620""";553.867;Atmos PPM;0;1013.25;11.1012;175612.638;9045898.02;179.199;176089.028;9045633.904;78.939;544.768;544.706
CND_210_3;01/09/2026 16:01;" 302° 53' 58.31717""";"  78° 03' 49.39559""";629.475;Atmos PPM;0;1013.25;11.1012;175571.977;9045968.455;209.155;176089.028;9045633.904;78.939;616.02;615.846
CND_200_3;01/09/2026 16:01;" 303° 25' 02.59584""";"  78° 15' 51.86671""";598.442;Atmos PPM;0;1013.25;11.1012;175600.003;9045956.629;200.683;176089.028;9045633.904;78.939;586.052;585.915
CND_200_8;01/09/2026 16:01;" 303° 25' 01.19631""";"  78° 15' 51.74522""";598.443;Atmos PPM;0;1013.25;11.1012;175600.001;9045956.626;200.683;176089.028;9045633.904;78.939;586.05;585.915
CND_190_4;01/09/2026 16:01;" 304° 23' 46.12584""";"  78° 35' 21.25511""";568.321;Atmos PPM;0;1013.25;11.1012;175629.387;9045948.639;191.398;176089.028;9045633.904;78.939;557.187;557.071
CND_200_4;01/09/2026 16:01;" 309° 34' 02.25782""";"  77° 58' 10.03516""";577.866;Atmos PPM;0;1013.25;11.1012;175653.392;9045993.937;199.407;176089.028;9045633.904;78.939;565.267;565.157
CND_1602;01/09/2026 16:01;" 310° 59' 41.92882""";"  79° 10' 44.28294""";381.651;Atmos PPM;0;1013.25;11.1012;175806.12;9045879.831;150.601;176089.028;9045633.904;78.939;394.845;374.856
CND_1505;01/09/2026 16:01;" 310° 59' 42.72144""";"  79° 10' 45.08568""";381.651;Atmos PPM;0;1013.25;11.1012;175806.121;9045879.832;150.599;176089.028;9045633.904;78.939;374.89;374.856
CND_210_4;01/09/2026 16:01;" 311° 21' 24.12336""";"  77° 25' 46.43727""";600.884;Atmos PPM;0;1013.25;11.1012;175648.857;9046021.443;209.739;176089.028;9045633.904;78.939;586.567;586.462
CND_190_5;01/09/2026 16:02;" 312° 12' 18.28389""";"  78° 10' 51.32845""";542.241;Atmos PPM;0;1013.25;11.1012;175695.922;9045990.475;190.021;176089.028;9045633.904;78.939;530.796;530.73
CND_25;01/09/2026 16:02;" 313° 23' 17.15058""";"  82° 24' 40.76809""";237.061;Atmos PPM;0;1013.25;11.1012;175918.277;9045795.335;110.249;176089.028;9045633.904;78.939;235.096;234.98
