kunci,point_id,seg,segmen_terakhir,kelas,skor_prioritas,status_data,easting,northing,rl,jarak_stasiun_m,az_los_deg,dip_lokal_deg,dipdir_lokal_deg,dev_los,proj_los,n_obs,n_hari,cakupan,tgl_awal,tgl_akhir,jam_sejak_akhir,d_turunlereng_mm,d_vertikal_mm,d_total_3d_mm,rasio_HV,plunge_deg,v_turunlereng_mmhari,v_vertikal_mmhari,v_ci95_mmhari,v_paruh1_mmhari,v_paruh2_mmhari,delta_v_mmhari,rezim,changepoint,changepoint_skor,inverse_velocity,t_turunlereng,t_vertikal,koherensi_tetangga,sigma_radial_mm,sigma_tangensial_mm,sigma_vertikal_mm,sd_harian_rad_mm,sd_harian_vert_mm,gerak_sejak_pasang_mm,tarp,catatan
CND_210_7#0,CND_210_7,0,True,P4-STABIL,5.1144,HILANG,175874.077,9046162.2,208.9825,570.3513,337.8598,16.9781,154.1942,3.6655,0.998,43,5,1.0,2026-09-01 14:05,2026-09-05 12:06,189.95,-0.2705,3.3988,3.4096,-0.0796,85.45,-0.0272,0.8735,0.303,,,,stabil,,0.0,tidak_berlaku,-0.9618,8.6684,-0.2137,1.4572,4.141,2.7435,0.1984,0.2773,-37.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_26#0,CND_26,0,True,P4-STABIL,4.9434,HILANG,175947.3575,9045814.0305,110.3765,229.1639,321.8148,21.6845,147.0893,-5.2746,0.9958,57,6,1.0,2026-09-01 14:03,2026-09-06 06:03,172.0,-0.1317,0.0537,0.1423,,22.1865,0.0095,0.0107,0.0871,-0.08,0.0085,0.0886,stabil,,0.0,tidak_berlaku,-0.8352,0.0702,-0.1266,0.3684,1.1653,1.4826,0.1111,0.5408,-143.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_30002#0,CND_30002,0,True,P4-STABIL,4.8682,AKTIF,175417.871,9045868.289,210.9495,710.9065,289.2505,20.379,145.9288,-36.6783,0.802,140,13,1.0,2026-09-01 14:00,2026-09-13 10:00,0.05,-0.0141,0.7996,0.7997,,88.9891,0.0291,0.0251,0.1127,0.2089,0.0381,-0.1708,stabil,,0.14,tidak_berlaku,-0.0176,0.2179,0.3707,1.1389,3.1124,6.7287,0.4546,2.5952,-9.0,belum_dikonfigurasi,
CND_27#0,CND_27,0,True,P4-STABIL,4.3994,HILANG,175983.949,9045837.38,110.1835,229.0067,332.6873,14.486,149.395,3.2922,0.9983,62,6,1.0,2026-09-01 14:05,2026-09-06 20:05,157.9667,0.1143,1.1055,1.1113,,84.0975,0.0384,0.3316,0.0922,0.0384,-0.056,-0.0944,stabil,,0.0,tidak_berlaku,1.1559,1.7899,-0.6574,0.4424,1.9976,1.4826,0.0698,0.4367,-124.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_22#0,CND_22,0,True,P4-STABIL,3.3886,HILANG,175979.078,9045865.717,120.7815,256.5663,334.6248,15.1158,147.9678,6.657,0.9933,83,8,1.0,2026-09-01 14:05,2026-09-08 18:05,111.9667,-0.0303,1.6324,1.6327,,88.9384,0.0232,0.2574,0.0849,-0.0569,-0.0491,0.0078,stabil,,0.0,tidak_berlaku,-0.1258,2.1903,-0.7102,0.4509,1.3396,1.4826,0.1689,0.527,-158.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_1402#0,CND_1402,0,True,P4-STABIL,2.6838,HILANG,175897.53,9045908.034,140.68,334.3931,325.0631,20.6917,145.5023,-0.4392,1.0,101,10,1.0,2026-09-01 14:04,2026-09-11 08:04,49.9833,-0.4899,0.0455,0.492,,5.301,-0.0533,-0.0159,0.039,-0.0647,-0.0268,0.0378,stabil,,0.0,tidak_berlaku,-2.5576,0.0338,-0.5607,0.3577,2.2185,1.8255,0.1354,0.9523,-146.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_32#0,CND_32,0,True,P4-STABIL,1.8001,TERPUTUS_BARU,175884.243,9045833.843,130.38,286.2036,314.314,15.7063,140.4407,-6.1267,0.9943,66,6,1.0,2026-09-06 10:02,2026-09-11 22:02,36.0167,-0.354,1.1467,1.2001,,72.8428,-0.0712,0.2293,0.0159,-0.0519,-0.0702,-0.0183,stabil,,0.0,tidak_berlaku,-16.8802,1.9205,,0.0451,1.0608,1.4826,0.0147,0.4222,-293.0,belum_dikonfigurasi,tidak terukur 12-48 jam terakhir
CND_1602#0,CND_1602,0,False,P4-STABIL,0.0,HILANG,175806.12,9045879.832,150.601,374.8567,311.0,15.5181,147.6989,-16.6989,0.9578,10,2,,2026-09-01 14:01,2026-09-02 08:01,266.0333,,,,,,,,,,,,,,,,,,,0.2319,1.5355,1.8563,,,-19990.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target; swap_target: 51254.2 mm; duplikat_target: 1.0 mm
CND_1603#0,CND_1603,0,False,P4-STABIL,0.0,HILANG,175859.4505,9045915.006,151.306,362.9382,320.7613,20.1459,146.6838,-5.9225,0.9947,10,2,,2026-09-01 14:03,2026-09-02 08:03,266.0,,,,,,,,,,,,,,,,,,,0.6702,1.5648,1.4826,,,-26559.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target; swap_target: 41943.689 mm; duplikat_target: 2.5 mm
CND_14#0,CND_14,0,True,P4-STABIL,0.0,HILANG,176051.036,9045784.418,90.5905,155.2348,345.8336,15.9418,152.8423,12.9913,0.9744,16,2,,2026-09-01 14:07,2026-09-02 20:06,253.95,,,,,,,,,,,,,,,,,,,0.1745,0.7188,1.4826,,,-12.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
CND_36#0,CND_36,0,True,P4-STABIL,0.0,HILANG,176014.2415,9045954.159,131.407,328.8712,346.8557,17.8227,150.7447,16.111,0.9607,20,3,,2026-09-01 14:07,2026-09-04 10:08,215.9167,,,,,,,,,,,,,,,,,,,0.5023,4.1293,1.7475,,,-13.0,belum_dikonfigurasi,berhenti terukur - perlu pemulihan target
